"reputation","명성; 평판","명사"
"resort","의지; 수단; 휴양지; 의지하다","명사/동사"
"resource","자원; 재료","명사"
"revenge","복수; 보복","명사"
"revolution","혁명; 회전; (천문학) 공전","명사"
"scale","규모; 범위; 등급; 비늘; 저울; 체중계","명사"
"scholar","학자; 장학생","명사"
"secretary","비서; (각 부의) 장관(S~)","명사"
"sector","부문; 영역","명사"
"sensation","느낌; 감각","명사"
"sentiment","정서; 감정","명사"
"sequence","순서; 연속","명사"
"session","기간(시간); 개회; 학기","명사"
"sight","시력; 시각; 시야","명사"
"sin","죄","명사"
"source","원천; 근원; 출처; 자료","명사"
"species","종(種)","명사"
"spectacle","장관; 구경거리","명사"
"sphere","구; 구체","명사"
"spirit","정신; 영혼; 기분; 마음","명사"
"status","신분; 지위","명사"
"strategy","계획; 전략","명사"
"stroke","타격; 치기; (글자의)한 획; 수영법; 뇌졸중; 쓰다듬다","명사/동사"
"structure","구조; 구조물","명사"
"stuff","물건; 것; 채우다","명사/동사"
"subject","주제; 과목; 피실험자; 주어; 신하; 국민; 지배받는; ~하다","명사/형용사/동사"
"substance","물질; 실체; 본질","명사"
"substitute","대체물; 대리자; 대신하다","명사/동사"
"suburb","교외","명사"
"suicide","자살","명사"
"sum","합계; 액수; 합하다; 요약하다","명사/동사"
"summary","요약","명사"
"summit","꼭대기; 정상; 정점; 정상 회담","명사"
"surface","표면; 나타나다","명사/동사"
"surgery","수술","명사"
"symbol","부호; 상징","명사"
"symptom","증상; 징후","명사"
"talent","재능","명사"
"target","목표; 표적; 과녁; 목표로 삼다","명사/동사"
"task","일; 과제","명사"
"tenant","세입자; 임차인","명사"
"term","용어; 학기; 기간; 관계(pl.)","명사"
"territory","영토; 지역; 영역","명사"
"theme","주제; 테마","명사"
"theory","이론","명사"
"therapy","치료; 요법","명사"
"threat","협박; 위협; 위험","명사"
"tissue","화장지; 조직","명사"
"tradition","전통","명사"
"trail","자취; 흔적","명사"
"transition","이전; 전이","명사"
"trial","재판; 실험","명사"
"tribe","부족; 집단","명사"
"troop","병력; 군대; 부대","명사"
"union","조합; 협회","명사"
"unit","구성 단위; 한 개; 부대","명사"
"vacuum","진공; 진공의; (진공 청소기로) 청소하다","명사/형용사/동사"
"vehicle","탈것; 차량","명사"
"vice","악; 악덕; 부도덕","명사"
"victim","피해자; 희생자","명사"
"virtue","미덕; 선","명사"
"wage","임금; 급료","명사"
"weapon","무기","명사"
"welfare","복지; 안녕","명사"
"wit","재치","명사"
"abandon","버리다; 포기하다","동사"
"abort","유산하다; 낙태시키다","동사"
"absorb","흡수하다","동사"
"accelerate","가속화하다","동사"
"accept","받아들이다; 수용하다","동사"
"accommodate","수용하다; 숙박시키다; 적응시키다","동사"
"accompany","동반하다; 동행하다","동사"
"accomplish","달성하다; 성취하다","동사"
"accumulate","모으다; 축적하다","동사"
"accuse","고발(고소)하다; 비난하다","동사"
"achieve","달성하다","동사"
"acquaint","익히다; 숙지하다","동사"
"activate","활성화시키다","동사"
"adapt","적응하다; 맞추다; 조정하다; 각색하다","동사"
"adjust","적응하다; 조정하다","동사"
"administer","관리하다; 운영하다","동사"
"admire","존경하다; 칭찬하다","동사"
"admit","인정(시인)하다; 입장을 허락하다","동사"
"adopt","채택하다; 입양하다","동사"
"affiliate","제휴하다; 연계되다","동사"
"afford","~할 여유가 있다","동사"
"allocate","할당하다; 배분하다","동사"
"allow","허락하다; 허용하다","동사"
"alter","변경하다; 바꾸다","동사"
"amaze","놀라게 하다","동사"
"amplify","증폭시키다; 확대하다; 상세하게 설명하다","동사"
"analyze/analyse","분석하다","동사"
"announce","발표하다; 알리다","동사"
"anticipate","기대하다; 예상하다","동사"
"appear","나타나다; 발생하다","동사"
"apply","신청하다; 지원하다; 적용하다; 응용하다; 바르다","동사"
"appoint","임명하다; 지명하다","동사"
"appreciate","평가하다; 인정하다; 감사하다; 감상하다","동사"
"approve","찬성하다; 승인하다","동사"
"argue","주장하다; 논쟁하다; 말다툼하다","동사"
"arise","생기다; 발생하다","동사"
"aspire","열망하다","동사"
"assemble","모으다; 집합시키다; 조립하다","동사"
"assign","맡기다; 배정하다","동사"
"assist","돕다","동사"
"associate","연상하다; 연관 짓다","동사"
"assume","가정하다; 추정하다; 맡다","동사"
"assure","보증(보장)하다; 확신시키다; 확실하게 하다","동사"
"attach","붙이다; 첨부하다","동사"
"attain","이루다; 달성하다","동사"
"attend","참석하다; 주의하다; 시중들다","동사"
"attract","마음을 끌다; 끌어당기다","동사"
"avoid","피하다","동사"
"await","기다리다","동사"
"beg","빌다; 애원하다; 간청하다","동사"
"behave","행동하다; (잘) 처신하다","동사"
"belong","(~에) 속하다 (to); (~의) 소유물이다","동사"
"bend","굽히다; 구부리다","동사"
"betray","배신하다; 누설하다","동사"
"bind","묶다; 감다","동사"
"bless","축복하다","동사"
"boil","끓이다; 끓다","동사"
"bore","지루하게 하다","동사"
"breathe","숨 쉬다; 호흡하다","동사"
"breed","기르다; 낳다; 사육하다; 번식시키다","동사"
"bury","묻다; 매장하다","동사"
"calculate","계산하다; 산출하다","동사"
"cancel","취소하다","동사"
"carve","새기다; 조각하다","동사"
"cater","음식을 공급하다; ~에 응하다; 만족을 주다 (to)","동사"
"cease","중단하다; 그치다; 끝나다","동사"
"celebrate","축하하다","동사"
"cheer","응원하다; 환호하다","동사"
"circulate","순환하다; 순환시키다; 유통하다; 유포되다","동사"
"clarify","명확하게 하다; 깨끗하게(맑게) 하다","동사"
"cling","매달리다; 꼭 붙잡다","동사"
"coincide","동시에 일어나다; 일치하다","동사"
"collaborate","협력하다","동사"
"commit","저지르다; 범하다; 전념하다; 약속하다; 맡기다","동사"
"communicate","의사소통하다; 전달하다","동사"
"compensate","보상하다 (for)","동사"
"compete","경쟁하다","동사"
"compile","모으다; 편집하다","동사"
"complain","불평하다; 투정하다","동사"
"complicate","복잡하게 만들다","동사"
"comprise","구성하다; 차지하다; ~으로 구성되다[이루어지다]","동사"
"conceal","숨기다","동사"
"concentrate","집중하다","동사"
"conclude","결론을 내리다; 끝내다","동사"
"condemn","비난하다; 유죄 판결을 내리다","동사"
"confess","고백하다; 자백하다","동사"
"confine","한정하다; 제한하다","동사"
"conform","따르다; 순응하다","동사"
"confront","맞서다; 직면하다","동사"
"confuse","혼란스럽게 만들다; 혼동하다","동사"
"connect","연결하다; 잇다","동사"
"consider","고려하다; 간주하다; 여기다","동사"
"consist","~로 구성되다 (of); ~에 있다 (in); ~와 일치하다","동사"
"constitute","구성하다; 제정하다","동사"
"construct","건설하다; 구성하다","동사"
"consult","상담하다","동사"
"consume","소비하다; 소모하다; 먹다; 마시다","동사"
"contain","포함하다; 억제하다","동사"
"continue","계속하다","동사"
"contradict","반박하다; 모순되다","동사"
"contribute","기여하다; 기부하다","동사"
"convey","전달하다; 운반하다; 실어 나르다","동사"
"convict","죄인; 기결수; 유죄를 선고하다","명사/동사"
"convince","납득시키다; 확신시키다","동사"
"cooperate","협력하다; 협동하다","동사"
"cope","대처하다; 대처하다 (with)","동사"
"correspond","일치하다 (with); 상응하다 (to)","동사"
"count","세다; 계산하다; 간주하다; 중요하다","동사"
"crawl","기어가다","동사"
"crush","눌러 부수다; 으스러뜨리다","동사"
"cultivate","경작하다; 재배하다","동사"
"declare","선언(선포 / 공표)하다; (세관에서) 신고하다","동사"
"decorate","장식하다; 꾸미다","동사"
"dedicate","헌신하다; 바치다","동사"
"defend","방어하다; 수비하다","동사"
"define","정의하다; 규정하다","동사"
"delete","삭제하다","동사"
"deliver","배달하다; 분만하다","동사"
"demonstrate","입증하다; 논증(증명)하다; 보여주다","동사"
"deny","부인하다; 부정하다","동사"
"depress","우울하게 만들다; 침체시키다","동사"
"deprive","빼앗다; 면직(파면)하다","동사"
"derive","끌어내다; 획득하다; (결론을) 도출하다","동사"
"descend","내려가다","동사"
"describe","묘사하다","동사"
"deserve","자격이 있다; 받을 만하다","동사"
"designate","지명하다; 지정하다","동사"
"destroy","파괴하다","동사"
"detach","분리하다; 떼어내다","동사"
"detect","발견하다; 감지하다","동사"
"determine","결정하다; 알아내다","동사"
"develop","발달하다; 개발하다","동사"
"devise","고안하다; 생각해 내다; 발명하다","동사"
"devote","헌신하다; 바치다","동사"
"dictate","받아쓰게 하다","동사"
"dig","파다","동사"
"dip","살짝 담그다","동사"
"disagree","일치하지 않다; 동의하지 않다","동사"
"disappoint","실망시키다","동사"
"discriminate","식별하다; 차별하다","동사"
"dismiss","해산시키다; 해고하다","동사"
"dispose","처리하다; 배치하다","동사"
"disrupt","방해하다","동사"
"distort","왜곡하다; 일그러뜨리다","동사"
"distract","산만하게 하다; 주의를 돌리다","동사"
"distribute","분배하다; 나눠어 주다","동사"
"disturb","방해하다; 불안하게 만들다","동사"
"donate","기부(기증)하다; 증여하다","동사"
"drag","끌다; 끌기; (물리학) 저항","동사/명사"
"dread","두려워하다; 두려움","동사/명사"
"drown","익사하다; 잠기게 하다","동사"
"dwell","거주하다; 살다","동사"
"earn","벌다; 얻다","동사"
"edit","편집하다; 수정하다","동사"
"educate","가르치다; 교육하다","동사"
"elect","선출하다; 선택하다","동사"
"embarrass","당황스럽게 하다; 난처하게 하다","동사"
"embrace","포옹하다; 받아들이다; 포괄하다","동사"
"emerge","나오다; 나타나다; 드러나다; 출현하다","동사"
"emit","내뿜다; 방출하다","동사"
"employ","고용하다; 사용하다","동사"
"enclose","둘러싸다; 동봉하다","동사"
"encourage","격려하다; 용기를 북돋우다","동사"
"endure","견디다; 참다","동사"
"enforce","강요하다; 집행하다","동사"
"engage","끌다; 사로잡다; 몰두시키다; 고용하다; 약속하다; 약혼시키다","동사"
"enhance","높이다; 향상시키다","동사"
"ensure","보증하다; 보장하다; 확실하게 하다","동사"
"entertain","즐겁게 하다; 접대하다","동사"
"establish","설립하다; 제정하다","동사"
"evacuate","대피시키다; 떠나다","동사"
"evaluate","평가하다; 감정하다","동사"
"evolve","진화하다; 발달하다","동사"
"exaggerate","과장하다","동사"
"examine","조사하다; 검사하다","동사"
"exceed","넘다; 초과하다","동사"
"exclude","배제하다; 제외하다","동사"
"exhaust","기진맥진하게 하다; 고갈시키다","동사"
"exhibit","전시(품); 전시하다; 나타내다","명사/동사"
"exist","존재하다; 실재하다","동사"
"explain","설명하다","동사"
"explode","폭발하다; 터지다","동사"
"explore","탐험하다; 탐구하다","동사"
"expose","노출시키다; 드러내다; 폭로하다","동사"
"express","표현하다; 나타내다","동사"
